# OWD receiver: Rx2-OWD  port=5002
[1781006072.973676] seq=484 owd=10.117 ms
[1781006072.993632] seq=485 owd=10.066 ms
[1781006073.033636] seq=487 owd=10.061 ms
[1781006073.053641] seq=488 owd=10.066 ms
[1781006073.073823] seq=489 owd=10.136 ms
[1781006073.093808] seq=490 owd=10.136 ms
[1781006073.113797] seq=491 owd=10.134 ms
[1781006073.133746] seq=492 owd=10.127 ms
[1781006073.153601] seq=493 owd=10.045 ms
[1781006073.193691] seq=495 owd=10.051 ms
[1781006073.213688] seq=496 owd=10.050 ms
[1781006073.233633] seq=497 owd=10.061 ms
[1781006073.253686] seq=498 owd=10.046 ms
[1781006073.273631] seq=499 owd=10.053 ms
[1781006073.293672] seq=500 owd=10.113 ms
[1781006073.313783] seq=501 owd=10.125 ms
[1781006073.333777] seq=502 owd=10.123 ms
[1781006073.353601] seq=503 owd=10.046 ms
[1781006073.373592] seq=504 owd=10.036 ms
[1781006073.393769] seq=505 owd=10.129 ms
[1781006073.413684] seq=506 owd=10.117 ms
[1781006073.433661] seq=507 owd=10.091 ms
[1781006073.453649] seq=508 owd=10.089 ms
[1781006073.473689] seq=509 owd=10.047 ms
[1781006073.493770] seq=510 owd=10.110 ms
[1781006073.513733] seq=511 owd=10.072 ms
[1781006073.533780] seq=512 owd=10.113 ms
[1781006073.553684] seq=513 owd=10.109 ms
[1781006073.573795] seq=514 owd=10.133 ms
[1781006073.593738] seq=515 owd=10.161 ms
[1781006073.613803] seq=516 owd=10.139 ms
[1781006073.633842] seq=517 owd=10.133 ms
[1781006073.653712] seq=518 owd=10.135 ms
[1781006073.673796] seq=519 owd=10.134 ms
[1781006073.693776] seq=520 owd=10.201 ms
[1781006073.713706] seq=521 owd=10.138 ms
[1781006073.733748] seq=522 owd=10.081 ms
[1781006073.753678] seq=523 owd=10.116 ms
[1781006073.773679] seq=524 owd=10.119 ms
[1781006073.793608] seq=525 owd=10.048 ms
[1781006073.813741] seq=526 owd=10.180 ms
[1781006073.833706] seq=527 owd=10.051 ms
[1781006073.853711] seq=528 owd=10.136 ms
[1781006073.873806] seq=529 owd=10.136 ms
[1781006073.893801] seq=530 owd=10.134 ms
[1781006073.913798] seq=531 owd=10.132 ms
[1781006073.933801] seq=532 owd=10.138 ms
[1781006073.953708] seq=533 owd=10.133 ms
[1781006073.973813] seq=534 owd=10.147 ms
[1781006073.993800] seq=535 owd=10.134 ms
[1781006074.013709] seq=536 owd=10.134 ms
[1781006074.033800] seq=537 owd=10.135 ms
[1781006074.053710] seq=538 owd=10.134 ms
[1781006074.073711] seq=539 owd=10.133 ms
[1781006074.093710] seq=540 owd=10.135 ms
[1781006074.113708] seq=541 owd=10.133 ms
[1781006074.133794] seq=542 owd=10.132 ms
[1781006074.153710] seq=543 owd=10.141 ms
[1781006074.173797] seq=544 owd=10.136 ms
[1781006074.193707] seq=545 owd=10.133 ms
[1781006074.213710] seq=546 owd=10.136 ms
[1781006074.233800] seq=547 owd=10.133 ms
[1781006074.253703] seq=548 owd=10.134 ms
[1781006074.273800] seq=549 owd=10.134 ms
[1781006074.293740] seq=550 owd=10.077 ms
[1781006074.313711] seq=551 owd=10.136 ms
[1781006074.333730] seq=552 owd=10.065 ms
[1781006074.353706] seq=553 owd=10.136 ms
[1781006074.373711] seq=554 owd=10.136 ms
[1781006074.393710] seq=555 owd=10.134 ms
[1781006074.413817] seq=556 owd=10.136 ms
[1781006074.433714] seq=557 owd=10.137 ms
[1781006074.453706] seq=558 owd=10.136 ms
[1781006074.473716] seq=559 owd=10.141 ms
[1781006074.493644] seq=560 owd=10.069 ms
[1781006074.513606] seq=561 owd=10.043 ms
[1781006074.533630] seq=562 owd=10.058 ms
[1781006074.553611] seq=563 owd=10.052 ms
[1781006074.573607] seq=564 owd=10.048 ms
[1781006074.593632] seq=565 owd=10.059 ms
[1781006074.613718] seq=566 owd=10.056 ms
[1781006074.633719] seq=567 owd=10.056 ms
[1781006074.653652] seq=568 owd=10.082 ms
[1781006074.673733] seq=569 owd=10.158 ms
[1781006074.693707] seq=570 owd=10.135 ms
[1781006074.713716] seq=571 owd=10.138 ms
[1781006074.733808] seq=572 owd=10.134 ms
[1781006074.753619] seq=573 owd=10.060 ms
[1781006074.773677] seq=574 owd=10.117 ms
[1781006074.793614] seq=575 owd=10.056 ms
[1781006074.813617] seq=576 owd=10.053 ms
[1781006074.833675] seq=577 owd=10.118 ms
[1781006074.853673] seq=578 owd=10.116 ms
[1781006074.873712] seq=579 owd=10.137 ms
[1781006074.893814] seq=580 owd=10.148 ms
[1781006074.913798] seq=581 owd=10.133 ms
[1781006074.933802] seq=582 owd=10.138 ms
[1781006074.953707] seq=583 owd=10.138 ms
[1781006074.973796] seq=584 owd=10.134 ms
[1781006074.993796] seq=585 owd=10.133 ms
[1781006075.013799] seq=586 owd=10.133 ms
[1781006075.033800] seq=587 owd=10.135 ms
[1781006075.053754] seq=588 owd=10.180 ms
[1781006075.073768] seq=589 owd=10.128 ms
[1781006075.093701] seq=590 owd=10.133 ms
[1781006075.113708] seq=591 owd=10.134 ms
[1781006075.133861] seq=592 owd=10.134 ms
[1781006075.153718] seq=593 owd=10.147 ms
[1781006075.173671] seq=594 owd=10.112 ms
