# OWD receiver: Rx3-OWD  port=5003
[1781005996.574032] seq=455 owd=40.071 ms
[1781005996.653867] seq=459 owd=40.040 ms
[1781005996.693877] seq=461 owd=40.055 ms
[1781005996.753893] seq=464 owd=40.071 ms
[1781005996.834065] seq=468 owd=40.139 ms
[1781005996.853971] seq=469 owd=40.138 ms
[1781005996.893983] seq=471 owd=40.147 ms
[1781005996.913955] seq=472 owd=40.119 ms
[1781005996.954078] seq=474 owd=40.112 ms
[1781005996.994010] seq=476 owd=40.178 ms
[1781005997.013980] seq=477 owd=40.141 ms
[1781005997.034073] seq=478 owd=40.148 ms
[1781005997.054073] seq=479 owd=40.143 ms
[1781005997.074015] seq=480 owd=40.073 ms
[1781005997.114014] seq=482 owd=40.171 ms
[1781005997.134083] seq=483 owd=40.157 ms
[1781005997.154087] seq=484 owd=40.118 ms
[1781005997.194102] seq=486 owd=40.121 ms
[1781005997.234055] seq=488 owd=40.130 ms
[1781005997.274080] seq=490 owd=40.154 ms
[1781005997.294037] seq=491 owd=40.196 ms
[1781005997.314063] seq=492 owd=40.135 ms
[1781005997.334090] seq=493 owd=40.129 ms
[1781005997.354122] seq=494 owd=40.136 ms
[1781005997.394051] seq=496 owd=40.117 ms
[1781005997.434079] seq=498 owd=40.133 ms
[1781005997.454045] seq=499 owd=40.116 ms
[1781005997.494086] seq=501 owd=40.146 ms
[1781005997.534075] seq=503 owd=40.128 ms
[1781005997.554085] seq=504 owd=40.134 ms
[1781005997.594129] seq=506 owd=40.152 ms
[1781005997.613962] seq=507 owd=40.128 ms
[1781005997.673961] seq=510 owd=40.138 ms
[1781005997.773985] seq=515 owd=40.163 ms
[1781005997.793935] seq=516 owd=40.113 ms
[1781005997.814119] seq=517 owd=40.152 ms
[1781005997.834140] seq=518 owd=40.135 ms
[1781005997.914084] seq=522 owd=40.122 ms
[1781005997.993956] seq=526 owd=40.141 ms
[1781005998.013942] seq=527 owd=40.128 ms
[1781005998.073857] seq=530 owd=40.043 ms
[1781005998.093901] seq=531 owd=40.087 ms
[1781005998.114045] seq=532 owd=40.118 ms
[1781005998.174036] seq=535 owd=40.202 ms
[1781005998.194041] seq=536 owd=40.208 ms
[1781005998.234063] seq=538 owd=40.134 ms
[1781005998.254083] seq=539 owd=40.155 ms
[1781005998.274061] seq=540 owd=40.136 ms
[1781005998.314084] seq=542 owd=40.156 ms
[1781005998.453986] seq=549 owd=40.154 ms
[1781005998.494060] seq=551 owd=40.159 ms
[1781005998.534063] seq=553 owd=40.136 ms
[1781005998.574042] seq=555 owd=40.112 ms
[1781005998.594079] seq=556 owd=40.149 ms
[1781005998.614101] seq=557 owd=40.138 ms
[1781005998.634080] seq=558 owd=40.136 ms
[1781005998.674028] seq=560 owd=40.078 ms
[1781005998.714124] seq=562 owd=40.136 ms
[1781005998.774020] seq=565 owd=40.091 ms
[1781005998.854163] seq=569 owd=40.141 ms
[1781005998.874026] seq=570 owd=40.096 ms
[1781005999.054098] seq=579 owd=40.168 ms
[1781005999.094103] seq=581 owd=40.175 ms
[1781005999.114094] seq=582 owd=40.133 ms
[1781005999.134064] seq=583 owd=40.133 ms
[1781005999.274006] seq=590 owd=40.174 ms
[1781005999.314006] seq=592 owd=40.174 ms
[1781005999.374027] seq=595 owd=40.196 ms
[1781005999.414012] seq=597 owd=40.181 ms
[1781005999.473994] seq=600 owd=40.162 ms
[1781005999.493939] seq=601 owd=40.114 ms
[1781005999.514036] seq=602 owd=40.207 ms
[1781005999.534006] seq=603 owd=40.077 ms
[1781005999.554063] seq=604 owd=40.136 ms
[1781005999.593977] seq=606 owd=40.144 ms
[1781005999.613949] seq=607 owd=40.112 ms
[1781005999.674001] seq=610 owd=40.161 ms
[1781005999.694006] seq=611 owd=40.177 ms
[1781005999.733997] seq=613 owd=40.150 ms
[1781005999.774001] seq=615 owd=40.170 ms
[1781005999.894029] seq=621 owd=40.101 ms
[1781005999.933993] seq=623 owd=40.065 ms
[1781005999.953983] seq=624 owd=40.050 ms
[1781005999.973992] seq=625 owd=40.053 ms
[1781005999.994018] seq=626 owd=40.055 ms
[1781006000.014023] seq=627 owd=40.068 ms
[1781006000.113946] seq=632 owd=40.124 ms
[1781006000.154127] seq=634 owd=40.136 ms
[1781006000.174122] seq=635 owd=40.176 ms
[1781006000.214085] seq=637 owd=40.157 ms
[1781006000.234084] seq=638 owd=40.155 ms
[1781006000.254126] seq=639 owd=40.195 ms
[1781006000.274077] seq=640 owd=40.134 ms
[1781006000.334010] seq=643 owd=40.084 ms
[1781006000.374153] seq=645 owd=40.175 ms
[1781006000.394065] seq=646 owd=40.136 ms
[1781006000.434085] seq=648 owd=40.158 ms
[1781006000.454001] seq=649 owd=40.161 ms
[1781006000.494070] seq=651 owd=40.235 ms
[1781006000.534028] seq=653 owd=40.097 ms
[1781006000.574117] seq=655 owd=40.137 ms
[1781006000.594119] seq=656 owd=40.194 ms
[1781006000.614077] seq=657 owd=40.146 ms
[1781006000.634078] seq=658 owd=40.083 ms
[1781006000.654032] seq=659 owd=40.078 ms
[1781006000.674170] seq=660 owd=40.254 ms
[1781006000.694116] seq=661 owd=40.187 ms
[1781006000.714088] seq=662 owd=40.113 ms
[1781006000.794094] seq=666 owd=40.169 ms
[1781006000.834030] seq=668 owd=40.102 ms
[1781006000.913996] seq=672 owd=40.067 ms
[1781006000.954022] seq=674 owd=40.136 ms
[1781006000.973949] seq=675 owd=40.127 ms
[1781006000.994058] seq=676 owd=40.112 ms
[1781006001.014077] seq=677 owd=40.138 ms
[1781006001.094034] seq=681 owd=40.103 ms
[1781006001.114010] seq=682 owd=40.174 ms
[1781006001.214078] seq=687 owd=40.153 ms
[1781006001.254084] seq=689 owd=40.156 ms
[1781006001.274063] seq=690 owd=40.134 ms
[1781006001.414087] seq=697 owd=40.159 ms
[1781006001.434061] seq=698 owd=40.133 ms
[1781006001.454082] seq=699 owd=40.152 ms
[1781006001.514097] seq=702 owd=40.136 ms
[1781006001.534081] seq=703 owd=40.153 ms
[1781006001.574101] seq=705 owd=40.173 ms
[1781006001.614069] seq=707 owd=40.142 ms
[1781006001.654039] seq=709 owd=40.206 ms
[1781006001.694067] seq=711 owd=40.137 ms
[1781006001.714131] seq=712 owd=40.136 ms
[1781006001.874092] seq=720 owd=40.165 ms
[1781006001.914061] seq=722 owd=40.133 ms
[1781006001.994018] seq=726 owd=40.180 ms
[1781006002.034061] seq=728 owd=40.135 ms
[1781006002.074003] seq=730 owd=40.076 ms
